uuid,age,age_band,sex,district,occupation,time_slot,day_type,reason
16070be2ab8c44988e5d4e7878761d15,46,40대,여,경기-성남시 분당구,무직,14-17,주말,"분당 거주로 접근성 있고 가족 단위 나들이(식물원 등) 성향, 주말 낮 복합몰/아쿠아리움 방문 가능성"
9012f5e074224c5f9e6bc4f225fce213,26,20대,남,서울-마포구,무직,17-21,주말,"테마파크·갤러리 관람을 즐기는 서울 마포구 거주 청년, 주말 저녁 코엑스 복합시설 방문 가능성"
fa508e4c9d0a415d8b325e1cb9f09cd6,50,50대,여,서울-서초구,치과 일반 의사,17-21,평일,"서초구 거주 고소득 전문직, 오마카세 등 미식 취향으로 코엑스 고급 레스토랑·백화점 방문 가능성, 퇴근 후 저녁 선호"
d854f0207c354b82a5eef20e249cd061,22,20대,남,서울-송파구,무직,17-21,주말,"서울 송파구 거주 청년, 맛집 탐방 즐기는 성향으로 접근성 좋은 코엑스 방문 가능성, 주말 저녁 선호"
3d0b790236f14340b2b00762583c5d46,49,40대,남,서울-양천구,정보 보안 전문가,14-17,주말,"서울 양천구 거주, 대형 쇼핑몰에서 가전제품 구경하는 명시적 취미 보유, 가족 단위 주말 방문 가능성"
75477106765248dcb43d243db801ff7e,23,20대,남,경기-부천시 소사구,무직,14-17,주말,"부천 거주 청년, 팝업스토어·트렌드에 대한 명시적 관심으로 코엑스 팝업/쇼핑 콘텐츠에 이끌릴 가능성, 주말 오후 선호"
12fded566af14169a3aa544b30e2c988,21,20대,여,서울-동대문구,"전직 일반 비서, 현재 구직중",14-17,주말,"성수동 팝업스토어 방문 등 명시적 트렌드 소비 성향, 서울 거주 20대로 접근성 좋음. 주말 오후 선호"
3aca13ee5fea44e4bf47e91eaa0d4212,27,20대,여,서울-용산구,광고 디자이너,14-17,주말,"현대 미술 전시 관람을 즐기는 서울 거주 크리에이티브 직군, 코엑스 컨벤션·전시 프로그램에 관심 가질 가능성. 주말 낮 선호"
5514f283dc0545a2a5aa96ddd822a6d0,29,20대,남,서울-마포구,무직,14-17,주말,"리움미술관 전시 관람, 도쿄 빈티지숍 쇼핑 등 문화·쇼핑 소비 성향이 뚜렷한 서울 거주 청년. 코엑스 전시·쇼핑 콘텐츠와 부합. 주말 낮 선호"
bf6b7b20cd3a42fdaea83bcaafa5a10d,54,50대,여,서울-강남구,무직,17-21,평일,강남구 압구정 거주로 코엑스와 지리적으로 매우 가까움. 청담동 오마카세 등 고급 미식 소비 성향이 뚜렷해 방문 가능성 높음
c57fc2e66fbe48198c9337e9eb7d98a4,22,20대,여,경기-군포시,마케팅 전문가,14-17,주말,"고소득 사회초년생으로 성수동 디저트 카페 투어, 대학로 연극 관람 등 트렌디한 문화소비 성향 뚜렷. 코엑스 쇼핑·문화 콘텐츠 관심 가능성. 주말 오후 선호"
ad6840dd2cb44f7f93cfd6773245bd66,25,20대,남,서울-성동구,관리 비서,14-17,주말,무신사 등 패션 플랫폼 쇼핑에 관심 많은 성수동 거주 20대. 코엑스 쇼핑몰·트렌드 콘텐츠에 이끌릴 가능성. 주말 오후 선호
c0a118bb1f114e07bdae4acbf9eb8285,34,30대,여,경기-용인시 수지구,경영 기획 사무원,14-17,주말,"인테리어·리빙숍 쇼핑, 트렌드 관심 등 소비 성향 뚜렷. 수지구에서 코엑스까지 접근 가능. 주말 오후 선호"
b4f4bbfd17f442a1a86e4addc1363a81,29,20대,남,경기-화성시,전자계측 제어 기술자 및 연구원,14-17,주말,"독립영화·현대미술 전시 관람을 즐기는 성향, 화성 거주이나 코엑스 컨벤션·전시 프로그램 방문 가능성. 주말 오후 선호"
41cb36b8f50b4cd8b53aaab899498f88,25,20대,남,경기-남양주시,영업 관리 사무원,14-17,주말,"테마파크·식물원 나들이를 즐기는 성향, 코엑스 아쿠아리움 등 체험시설 방문 가능성. 주말 오후 선호"
f29c04ab2d794a259dd5cc65ad54194d,32,30대,여,경기-용인시 수지구,가사 도우미,14-17,주말,"판교 갤러리 투어, 소극장 연극 관람 등 문화 소비에 적극적. 코엑스 전시·문화 프로그램 관심 가능성. 주말 오후 선호"
e7926df30b8f48c09b33684f3075f60f,26,20대,여,서울-강남구,공공행정 전문가,17-21,평일,"강남구 거주로 코엑스와 가까움. 연극 관람, 성수동 요리주점 탐방 등 트렌디한 문화·외식 소비 성향 뚜렷. 퇴근 후 저녁 선호"
c88bac735ec54d948d94d400677ceb14,23,20대,여,인천-부평구,"전직 보육교사, 현재 구직중",14-17,주말,"디저트 카페 투어, 소품샵 구경 등 트렌드 소비에 적극적인 20대. 다소 거리 있으나 관심사 뚜렷해 방문 가능성. 주말 오후 선호"
52e17175593a4a46bcf5fc3a645e7dbb,62,60대+,여,경기-남양주시,무직,14-17,주말,"친구들과 테마파크 나들이를 즐기는 성향, 코엑스 체험시설(아쿠아리움) 방문 가능성. 주말 오후 선호"
20b1313e1b9a44a49b9239cad7184f34,26,20대,여,서울-관악구,무직,14-17,주말,성수동 팝업스토어 탐방 등 트렌드 소비에 적극적인 서울 거주 20대. 코엑스 팝업·쇼핑 콘텐츠 관심 가능성. 주말 오후 선호
984fa45d0be14413b31fca109286b2d7,28,20대,여,인천-미추홀구,무직,14-17,주말,"인천아트플랫폼 전시 관람, 오마카세 투어 등 예술·미식에 대한 뚜렷한 관심. 코엑스 컨벤션·전시·다이닝 콘텐츠와 부합. 주말 오후 선호"
d17508818bcf487fb6ad0ff154448617,31,30대,남,서울-서초구,그 외 일반 영업원,17-21,평일,서초구 거주로 코엑스와 매우 인접. 사교적 성향과 즉흥적 만남을 즐기는 특성상 퇴근 후 방문 가능성 높음
306b5f06af6543d88fb60d4784d4b23f,48,40대,남,경기-파주시,그 외 제품 디자이너,14-17,주말,"헤이리 예술마을 전시 관람, 고급 일식당 탐방 등 예술·미식 소비 성향 뚜렷한 디자이너. 코엑스 컨벤션·전시 프로그램 관심 가능성. 주말 오후 선호"
82c19785bf5345b38268262754ec97a0,65,60대+,여,강원-원주시,무직,14-17,주말,"서울 도심 미술관·갤러리 투어를 즐기는 성향, 원주에서도 서울 방문 의지가 뚜렷함. 코엑스 컨벤션·전시 프로그램 방문 가능성. 주말 오후 선호"
5b03be652aa14de3bb900be634a2679a,28,20대,남,경기-의왕시,무직,14-17,주말,성수동 테마카페 투어 등 트렌드 소비에 적극적인 20대. 쾌락적 소비 성향 고려 시 코엑스 쇼핑·트렌드 콘텐츠 관심 가능성. 주말 오후 선호
