age,gender,time
30대,남,11-14
20대,남,21-24
30대,남,14-17
30대,여,17-21
30대,남,17-21
60대+,남,06-11
50대,남,11-14
60대+,남,11-14
40대,여,11-14
30대,여,21-24
20대,여,14-17
40대,여,11-14
20대,남,14-17
30대,남,14-17
20대,남,17-21
20대,여,21-24
30대,남,21-24
40대,여,17-21
40대,여,11-14
30대,여,17-21
30대,남,17-21
30대,여,17-21
20대,남,06-11
20대,남,17-21
30대,남,17-21
20대,남,11-14
20대,여,17-21
40대,여,21-24
40대,남,17-21
30대,남,11-14
30대,남,14-17
30대,남,14-17
30대,남,06-11
60대+,여,11-14
60대+,여,11-14
40대,남,11-14
40대,남,11-14
40대,여,17-21
30대,남,11-14
30대,남,06-11
30대,남,14-17
40대,남,06-11
30대,여,14-17
30대,남,11-14
20대,여,17-21
20대,여,11-14
30대,여,14-17
30대,여,14-17
20대,여,14-17
40대,여,00-06
30대,여,14-17
20대,남,06-11
20대,여,14-17
20대,여,21-24
20대,여,00-06
20대,남,11-14
10대,남,06-11
50대,여,14-17
30대,남,14-17
20대,남,14-17
20대,여,11-14
40대,여,17-21
20대,여,11-14
30대,여,11-14
30대,여,00-06
30대,남,11-14
30대,여,14-17
40대,남,14-17
40대,남,21-24
50대,여,00-06
40대,여,21-24
20대,여,11-14
40대,여,17-21
40대,여,11-14
20대,남,11-14
30대,남,11-14
40대,여,06-11
30대,남,11-14
20대,여,17-21
40대,여,11-14
30대,여,11-14
10대,남,14-17
50대,남,00-06
10대,남,17-21
30대,남,14-17
30대,남,17-21
40대,여,17-21
60대+,여,11-14
40대,여,11-14
30대,여,14-17
30대,남,14-17
30대,여,14-17
20대,남,17-21
50대,여,06-11
30대,남,14-17
20대,남,17-21
40대,여,14-17
20대,여,17-21
40대,남,11-14
20대,여,17-21
